,Metric,EDL,NBEATS,DAR,MhT,TFT
0,NRMSE,0.479,0.42,0.378,0.38,0.379
1,RMSE,18.8,16.485,14.848,14.91,14.894
2,MSE,353.45,271.77,220.46,222.32,221.83
3,MASE,1.057,0.893,0.871,0.895,0.86
4,MAPE,0.456,0.329,0.394,0.391,0.382
5,sMAPE,0.398,0.338,0.306,0.312,0.304
6,MSIS,42.275,35.724,7.329,6.65,6.023
