,Hyperparameters,EDL,NBEATS DAR MhT TFT,,,
0,freq,M,M,M,M,M
1,context length,24,24,24,24,24
2,prediction length,12,12,12,12,12
3,learning rate,0.001,0.001,0.001,0.001,0.001
4,batch size,32,32,32,32,32
5,dropout rate,-,-,0.1,0.1,0.1
6,attention heads,,,-,8,4
7,patience,-,-,10,-,10
8,weight decay,,,0.001,,0.001
9,num layers,2,2,2,-,-
10,hidden dim,-,-,-,,32
11,hidden size,,,40,-,-
12,num neurons,100,-,-,,32
